entity	label
ebebac98-d45e-4a65-95dc-4fcfbebe0632	microfluidics
594795fd-81a0-47bb-8676-fb24f97a0213	fluid mechanics
546f93d1-4503-4a57-90d9-8ec927ab112e	classical mechanics
9c3ce95c-91ca-414c-9992-6cf1a2181165	fluid statics
8aa08c31-d3ac-401e-939d-65876f7b9b08	fluid dynamics
3d76a7f4-5a16-411e-ae44-7b712d5222ee	natural sciences
9b9abbee-82f5-4766-bd4d-feb73cf06573	agricultural sciences
9e8e1abb-1a14-40ef-9658-782092fa5cf6	medical and health sciences
64605fff-1946-4fd4-b021-e2e83b71dcac	engineering and technology
12c980a5-034f-4cd5-8ce7-fcfe109c675c	social sciences
7a2dcf7b-2c20-468a-a81c-76d67c14de31	humanities
d3b09b78-ac5c-4fc3-b58a-9573daf0e304	physical sciences
9d9b93f7-14ac-44fd-9fbd-d15dff2768ed	statistical mechanics
40c73d84-142b-42bd-b0e5-6f9a9b3f6a91	solid mechanics
3e083223-d46f-4cab-b93a-95598b4f6be1	computational fluid dynamics
4a8788fc-4172-461c-ae94-40be4f39043f	earth and related environmental sciences
bce870dd-43f3-4656-8866-d76b0d71f5b8	chemical sciences
e437ed99-4a4e-4fb3-af7e-fae6a2c2a800	computer and information sciences
803cff73-504b-41ae-9873-1836c76c15d1	biological sciences
5ac3ab8e-7d50-4091-94e2-0eec71c915db	mathematics
e5178751-bb89-45c6-802b-2d2374b3ecc3	other natural sciences
4df60e5a-a143-45d2-b1a6-c2dcb31d977a	agriculture, forestry, and fisheries
b33c5338-c5bb-4026-8b86-7e2ff7cd2e3c	animal and dairy science
1d8b779c-f72c-40fe-a8b9-22608c4e9df4	agricultural biotechnology
fba9976f-0a7e-410c-8fce-3a6cef46f5e1	other agricultural sciences
55e533c2-cad7-45bc-a66f-e813cda04e70	veterinary sciences
34b9c059-9e6c-4ec1-8a96-845c95c1a978	health sciences
5c631d7c-2a8c-40b4-9ba9-71121e2d5e63	basic medicine
a348fcd2-3bdd-46f9-aa2c-a91301f1e12e	clinical medicine
a357cf4d-48e6-4d5d-b8bf-3e39cbbbe713	other medical sciences
495b214f-06c8-45b9-a5d2-64e2df5dc2e3	medical biotechnology
dc9a4100-9eb3-4956-8fd8-b67ea07a70ad	materials engineering
26770c2b-64ce-4611-896f-cdefb4893317	civil engineering
325a846e-9c47-4aca-9358-5c8facd2e812	electrical engineering, electronic engineering, information engineering
531bd18a-eedd-4345-8b2f-5464f96615f8	environmental engineering
14e75836-6f05-46f9-9c82-ca12468b0452	other engineering and technologies
12df4518-adab-4191-a79f-74eb18ad1688	industrial biotechnology
ea994073-d367-4ed7-9df3-4477a9c6cf6f	mechanical engineering
739766f0-539e-4fba-8144-9249bb38719a	nanotechnology
10352c4c-328e-4dac-a89c-44b6be1420e9	chemical engineering
776bf529-b4bb-458b-ad4f-50b327a822ce	environmental biotechnology
742439ad-5d62-4e2d-bd77-0eb7caaa75f4	medical engineering
839b7158-09d9-4799-aacc-bb07d00c1668	sociology
052bc92d-760c-43ab-958e-2330c72a4212	economics and business
8614801c-e2ae-4e99-93b0-cfecb09c4f35	social geography
77030c6f-37d5-46d0-961c-b2a053ecb8d7	law
f8714203-d97f-4852-b051-3b63b2795faa	political sciences
5c66325e-b247-4e52-92ec-544ae4d061cc	psychology
734e0a2e-5a5f-4bee-aff1-39389370e524	educational sciences
0bf709d0-834b-4448-a89c-7fb04cece64a	other social sciences
8d3657d8-563a-47fb-a5c2-5592b08365b5	media and communications
1ad04442-4f97-4a5e-aba8-4fc2889faeca	languages and literature
de62b610-a9d3-430b-92ff-366f28f7b1c7	history and archaeology
a55114ca-1ad7-4c52-a261-d753fbeb3529	arts
