entity	label	definition	synonyms
DOID_0001816	angiosarcoma	A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.	hemangiosarcoma
DOID_0002116	pterygium	A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.	surfer's eye
DOID_0014667	disease of metabolism	A disease that involves errors in metabolic processes of building or degradation of molecules.	metabolic disease
DOID_0040001	shrimp allergy	A crustacean allergy that has_allergic_trigger shrimp.	
DOID_0040002	aspirin allergy	A drug allergy that has_allergic_trigger acetylsalicylic acid.	ASA allergy; acetylsalicylic acid allergy
DOID_0040003	benzylpenicillin allergy	A beta-lactam allergy that has_allergic_trigger benzylpenicillin.	benzyl penicillin allergy; penicillin G allergy
DOID_0040004	amoxicillin allergy	A beta-lactam allergy that has_allergic_trigger amoxicillin.	
DOID_0040005	ceftriaxone allergy	A cephalosporin allergy that has_allergic_trigger ceftriaxone.	rocephin allergy
DOID_0040006	carbamazepine allergy	A drug allergy that has_allergic_trigger carbamazepine.	Tegretol allergy; carbamazepen allergy
DOID_0040007	abacavir allergy	A drug allergy that has_allergic_trigger abacavir.	ABC allergy
DOID_0040008	isoniazide allergy	A drug allergy that has_allergic_trigger isoniazide.	INH allergy; isonicotinylhydrazide allergy
DOID_0040009	lidocaine allergy	A drug allergy that has_allergic_trigger lidocaine.	Lidoderm allergy; lignocaine allergy; xylocaine allergy
DOID_0040010	mepivacaine allergy	A drug allergy that has_allergic_trigger mepivacaine.	Carbocaine allergy; Polocaine allergy
DOID_0040011	phenobarbital allergy	A drug allergy that has_allergic_trigger phenobarbital.	Luminal allergy; phenobarbitol allergy; phenobarbitone allergy
DOID_0040012	phenytoin allergy	A drug allergy that has_allergic_trigger phenytoin.	Dilantin allergy
DOID_0040013	ranitidine allergy	A drug allergy that has_allergic_trigger ranitidine.	Zantac allergy
DOID_0040014	corticosteroid allergy	A drug allergy that has_allergic_trigger corticosteroid.	
DOID_0040015	sulfonamide allergy	A drug allergy that has_allergic_trigger sulfonamide.	
DOID_0040016	sulfamethoxazole allergy	A drug allergy that has_allergic_trigger sulfamethoxazole.	SMX allergy; SMZ allergy; sulphamethoxazole allergy
DOID_0040017	suprofen allergy	A drug allergy that has_allergic_trigger suprofen.	Profenal allergy
DOID_0040018	thiopental allergy	A drug allergy that has_allergic_trigger thiopental.	penthiobarbital allergy; pentothiobarbital allergy
DOID_0040019	D-mannitol allergy	A drug allergy that has_allergic_trigger D-mannitol.	mannitol allergy
DOID_0040020	cefotaxime allergy	A cephalosporin allergy that has_allergic_trigger cefotaxime.	
DOID_0040021	cephalosporin allergy	A drug allergy that has_allergic_trigger cephalosporin.	
DOID_0040022	amodiaquine allergy	A drug allergy that has_allergic_trigger amodiaquine.	Camoquin allergy; Flavoquine allergy
DOID_0040023	cefaclor allergy	A cephalosporin allergy that has_allergic_trigger cefaclor.	Ceclor allergy; cephaclor allergy
DOID_0040024	ceftazidime allergy	A cephalosporin allergy that has_allergic_trigger ceftazidime.	Fortaz allergy; Tazicef allergy
DOID_0040025	cefuroxime allergy	A cephalosporin allergy that has_allergic_trigger cefuroxime.	Zinacef allergy; cephuroxime allergy
DOID_0040026	chlorhexidine allergy	A drug allergy that has_allergic_trigger chlorhexidine.	
DOID_0040027	cyclophosphamide allergy	A drug allergy that has_allergic_trigger cyclophosphamide.	cytophosphane allergy
DOID_0040028	succinylcholine allergy	A drug allergy that has_allergic_trigger succinylcholine.	dicholine succinate allergy; succinocholine allergy; sux allergy; suxamethonium allergy
DOID_0040029	trimethoprim allergy	A drug allergy that has_allergic_trigger trimethoprim.	Primsol allergy; TMP allergy; proloprim allergy
DOID_0040030	cefixime allergy	A cephalosporin allergy that has_allergic_trigger cefixime.	
DOID_0040031	diclofenac allergy	A drug allergy that has_allergic_trigger diclofenac.	Voltaren allergy
DOID_0040032	carbapenem allergy	A drug allergy that has_allergic_trigger carbapenems.	
DOID_0040033	piperacillin allergy	A beta-lactam allergy that has_allergic_trigger piperacillin.	
DOID_0040034	rocuronium allergy	A drug allergy that has_allergic_trigger rocuronium.	Esmeron allergy; Zemuron allergy
DOID_0040035	sulfasalazine allergy	A drug allergy that has_allergic_trigger sulfasalazine.	
DOID_0040036	tubocurarine allergy	A drug allergy that has_allergic_trigger tubocurarine.	DTC allergy
DOID_0040037	aztreonam allergy	A beta-lactam allergy that has_allergic_trigger aztreonam.	Azactam allergy; Primbactam allergy
DOID_0040038	meropenem allergy	An allergic asthma that has_allergic_trigger meropenem, a beta-lactam antibiotic.	Merrem allergy
DOID_0040040	hexamethylene diisocyanate allergic asthma	An isocyanates allergic asthma that has_allergic_trigger hexamethylene diisocyanate.	allergic asthma to HDI; allergic asthma to HMDI
DOID_0040041	isocyanates allergic asthma	An allergic asthma that has_allergic_trigger isocyanates.	
DOID_0040042	diphenylmethane-4,4'-diisocyanate allergic asthma	An isocyanates allergic asthma that has_allergic_trigger diphenylmethane-4,4-diisocyanate.	allergic asthma to MDI
DOID_0040043	toluene meta-diisocyanate allergic asthma	An isocyanates allergic asthma that has_allergic_trigger toluene meta-diisocyanate.	allergic asthma to TDI
DOID_0040044	methyl isocyanate allergic asthma	An isocyanates allergic asthma that has_allergic_trigger methyl isocyanate.	allergic asthma to MIC
DOID_0040045	nickel allergic asthma	An allergic asthma that has_allergic_trigger nickel atom.	allergic asthma to Ni
DOID_0040046	nickel allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger nickel atom.	allergic contact dermatitis to Ni
DOID_0040047	trimellitic anhydride allergic asthma	An allergic asthma that has_allergic_trigger trimellitic anhydride.	allergic asthma to TMA
DOID_0040048	phthalic anhydride allergic asthma	An allergic asthma that has_allergic_trigger phthalic anhydride.	
DOID_0040049	maleic anhydride allergic asthma	An allergic asthma that has_allergic_trigger maleic anhydride.	allergic asthma to MA
DOID_0040050	tetrachlorophthalic anhydride allergic asthma	An allergic asthma that has_allergic_trigger tetrachlorophthalic anhydride.	
DOID_0040051	hexahydrophthalic anhydride allergic asthma	An allergic asthma that has_allergic_trigger hexahydrophthalic anhydride.	allergic asthma to HHPA
DOID_0040052	diphenylmethane-4,4'-diisocyanate allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger diphenylmethane-4,4-diisocyanate.	allergic contact dermatitis to MDI
DOID_0040053	cobalt allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger cobalt atom.	allergic contact dermatitis to Co
DOID_0040054	cobalt allergic asthma	An allergic asthma that has_allergic_trigger cobalt atom.	Co allergic asthma
DOID_0040055	palladium allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger palladium.	allergic contact dermatitis to Pd
DOID_0040056	chromium allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger chromium atom.	
DOID_0040057	benzoic acid allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger benzoic acid.	allergic contact dermatitis to benzoate
DOID_0040058	1,4-phenylenediamine allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger 1,4-phenylenediamine.	allergic contact dermatitis to PPD; allergic contact dermatitis to p-phenylenediamine
DOID_0040059	potassium dichromate allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger potassium dichromate.	
DOID_0040060	ketoprofen photoallergic dermatitis	A photoallergic dermatitis that has_allergic_trigger ketoprofen.	photoallergic dermatitis to Orudis
DOID_0040061	remazole black respiratory allergy	A respiratory allergy that has_allergic_trigger remazole black-GR.	respiratory allergy to Reactive Black 5
DOID_0040062	chloramine T respiratory allergy	A respiratory allergy that has_allergic_trigger chloramine T.	respiratory allergy to Chloraseptin; respiratory allergy to Chlorazol; respiratory allergy to Trichlorol
DOID_0040063	4-vinylcyclohexene dioxide respiratory allergy	A respiratory allergy that has_allergic_trigger 4-vinylcyclohexene dioxide.	respiratory allergy to vinyl cyclohexene diepoxide
DOID_0040064	carvone allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger (-)-carvone.	allergic contact dermatitis to levo-carvone
DOID_0040065	quinidine allergy	A drug allergy that has_allergic_trigger quinidine.	Kinidin allergy
DOID_0040066	melphalan allergy	A drug allergy that has_allergic_trigger melphalan.	Alkeran allergy
DOID_0040067	neomycin sulfate allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger neomycin sulfate.	allergic contact dermatitis to neomycin sulphate
DOID_0040068	4-tert-butylphenol allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger 4-tert-butylphenol.	allergic contact dermatitis to PTBP; allergic contact dermatitis to butylphen
DOID_0040069	1-chloro-2,4-dinitrobenzene allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger 1-chloro-2,4-dinitrobenzene.	allergic contact dermatitis to DNCB; allergic contact dermatitis to dinitrochlorobenzene
DOID_0040070	co-trimoxazole allergy	A drug allergy that has_allergic_trigger co-trimoxazole.	Bactrim allergy; TMP/SMX allergy; cotrimoxazol allergy; trimethoprim/sulfamethoxazole allergy
DOID_0040071	sodium aurothiomalate allergy	A drug allergy that has_allergic_trigger sodium aurothiomalate.	gold sodium thiomalate allergy
DOID_0040072	parthenolide allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger parthenolide.	allergic contact dermatitis to feverfew
DOID_0040073	disodium cromoglycate allergy	A drug allergy that has_allergic_trigger disodium cromoglycate.	DSCG allergy
DOID_0040074	formaldehyde allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger formaldehyde.	allergic contact dermatitis to formalin
DOID_0040075	benzo[d]isothiazol-3-one allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger benzo[d]isothiazol-3-one.	allergic contact dermatitis to BIT; allergic contact dermatitis to benzisothiazolone
DOID_0040076	phthalyl group allergy	A drug allergy that has_allergic_trigger phthalyl group.	phthalyl allergy
DOID_0040077	alcuronium bromide allergy	A drug allergy that has_allergic_trigger alcuronium bromide.	
DOID_0040078	gallamine allergy	A drug allergy that has_allergic_trigger gallamine.	
DOID_0040079	2,4-dinitrophenyl allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger 2,4-dinitrophenyl group.	allergic contact dermatitis to DNP
DOID_0040080	patent blue V allergy	A drug allergy that has_allergic_trigger patent blue V.	
DOID_0040081	acid anhydride respiratory allergy	A respiratory allergy that has_allergic_trigger acid anhydride.	
DOID_0040082	oxirane allergy	A drug allergy that has_allergic_trigger oxirane.	ETO allergy; ethylene oxide allergy
DOID_0040083	Chlamydia pneumonia	A bacterial pneumonia has_material_basis_in Chlamydia pneumoniae.	
DOID_0040084	Streptococcus pneumonia	A bacterial pneumonia has_material_basis_in Streptococcus pneumoniae.	
DOID_0040085	bacterial sepsis	A bacterial infectious disease has_material_basis_in Bacteria.	
DOID_0040086	Polyomavirus-associated nephropathy	A viral infectious disease has_material_basis_in BK polyomavirus (Betapolyomavirus hominis).	PVAN; polyomavirus associated nephropathy
DOID_0040087	autoimmune peripheral neuropathy	An autoimmune disease of peripheral nervous system that results in peripheral neuropathy.	
DOID_0040088	autoimmune uveitis	An autoimmune disease of eyes, ear, nose and throat that is located_in the uvea.	
DOID_0040089	autoimmune optic neuritis	An autoimmune disease of peripheral nervous system that is located_in the neuron projection bundle connecting eye with brain.	
DOID_0040090	autoimmune gastritis	An autoimmune disease of gastrointestinal tract that is located_in the stomach.	
DOID_0040091	autoimmune pancreatitis	An autoimmune disease of endocrine system that is located_in the pancreas.	
DOID_0040092	juvenile ankylosing spondylitis	An ankylosing spondylitis with onset during childhood.	
DOID_0040093	drug-induced lupus erythematosus	A lupus erythematosus caused by chronic use of certain drugs.	DIL; DILE
DOID_0040094	autoimmune glomerulonephritis	An autoimmune disease of urogenital tract that is located_in the renal glomerulus.	
DOID_0040095	autoimmune cardiomyopathy	An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.	
DOID_0040096	autoimmune atherosclerosis	An autoimmune disease of cardiovascular system that is characterized by a build up of plaque in the arteries.	
DOID_0040097	autoimmune vasculitis	An autoimmune disease of cardiovascular system that is characterized by inflammation of the blood vessels.	
DOID_0040098	pemphigus gestationis	A pemphigus that is characterized by blistered skin as a result of self-reactive T and B cells that target BP180.	
DOID_0040099	livedoid vasculitis	A vasculitis with purpuric ulcers.	livedoid vasculopathy
DOID_0040100	Hirata disease	An autoimmune disease of endocrine system characterized by hypoglycemia caused by antibodies to insulin.	insulin autoimmune syndrome
DOID_0040101	N,N'-diphenylthiourea allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger N,N-diphenylthiourea.	neoprene allergy
DOID_0040102	N,N'-diethylthiourea allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger N,N-diethylthiourea.	neoprene allergy
DOID_0040103	cefotiam allergy	A cephalosporin allergy that has_allergic_trigger cefotiam.	
DOID_0040104	toluene 2,4-diisocyanate allergic asthma	A toluene meta-diisocyanate allergic asthma that has_allergic_trigger toluene 2,4-diisocyanate.	
DOID_0050004	seminal vesicle acute gonorrhea	A gonococcal seminal vesiculitis that is characterized by back pain, perineal pain, pain with ejaculation, hematospermia and voiding symptoms resulting from inflammation located_in the seminal vesicles caused by Neisseria gonorrhoeae infection.	
DOID_0050012	chikungunya	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus (Alphavirus chikungunya), which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.	Chikungunya fever
DOID_0050025	human granulocytic anaplasmosis	An ehrlichiosis that results in infection located in granular leukocyte, has_material_basis_in Anaplasma phagocytophilum, which is transmitted by lone star tick (Amblyomma americanum). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.	human granulocytic ehrlichiosis; HGE
DOID_0050026	human monocytic ehrlichiosis	An ehrlichiosis that results in infection located in monocyte or located in macrophage, has_material_basis_in Ehrlichia chaffeensis, which is transmitted by black-legged tick (Ixodes scapularis), transmitted by western black-legged tick (Ixodes pacificus) or transmitted by castor bean tick (Ixodes ricinus). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.	Ehrlichiosis chafeensis
DOID_0050032	mineral metabolism disease	An acquired metabolic disease that is characterized by abnormal mineral metabolism.	
DOID_0050035	African tick-bite fever	A spotted fever that has_material_basis_in Rickettsia africae, which is transmitted_by ticks (Amblyomma hebraeum and Amblyomma variegatum). The infection has_symptom fever, has_symptom eschar and has_symptom maculopapular rash.	Rickettsia africae spotted fever; south african tick-bite fever
DOID_0050041	Astrakhan spotted fever	A spotted fever that has_material_basis_in Rickettsia conorii subsp caspia, which is transmitted_by ticks (Rhipicephalus pumilio and Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar (usually single), has_symptom regional adenopathy, has_symptom maculopapular rash on extremities.	
DOID_0050042	Indian tick typhus	A spotted fever that has_material_basis_in Rickettsia conorii subsp indica, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.	
DOID_0050043	Israeli tick typhus	A spotted fever that has_material_basis_in Rickettsia conorii subsp israelensis, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.	Israeli spotted fever
DOID_0050046	Far Eastern spotted fever	A spotted fever that has_material_basis_in Rickettsia heilongjiangensis, which is transmitted_by ticks (Haemaphysalis concinna). The infection has_symptom fever, has_symptom eschar, has_symptom maculopapular rash, and has_symptom regional adenopathy.	Rickettsia heilongjiangensis spotted fever
DOID_0050047	Flinders Island spotted fever	A spotted fever that has_material_basis_in Rickettsia honei, which is transmitted_by cayenne ticks (Amblyomma cajennense). The infection has_symptom mild spotted fever, has_symptom eschar and has_symptom adenopathy.	Thai tick typhus; FISF
DOID_0050050	Japanese spotted fever	A spotted fever that has_material_basis_in Rickettsia japonica, which is transmitted_by ticks (Dermacentor taiwanensis and Haemaphysalis flava). The infection has_symptom fever, has_symptom eschars, has_symptom regional adenopathy, and has_symptom rash on extremities.	Rickettsia japonica spotted fever; oriental spotted fever
DOID_0050051	Rickettsia parkeri spotted fever	A spotted fever that has_material_basis_in Rickettsia parkeri, which is transmitted_by Gulf Coast tick (Amblyomma maculatum). The infection has_symptom fever, has_symptom headache, has_symptom eschar, and has_symptom rash.	maculatum infection
